
[02/05/2020 , 23:22:53] Travis_Palmer je prebacio $10000 na racun 84 ()
[02/05/2020 , 23:30:50] Austin_Burkhart je prebacio $25000 na racun 65 ()
[02/05/2020 , 23:31:22] Carmen_Webb je prebacio $10000 na racun 67 ()
[02/05/2020 , 23:31:33] Edgar_Hicks je prebacio $740000 na racun 69 ()
[02/05/2020 , 23:32:17] Aaron_Schaffner je prebacio $20000 na racun 65 ()
[03/05/2020 , 14:34:54] Muhammad_Isaev je prebacio $35000 na racun 77 ()
[03/05/2020 , 14:51:46] Anthony_Ford je prebacio $30500 na racun 65 ()
[03/05/2020 , 15:18:12] Bradley_Weathersby je prebacio $2500 na racun 66 ()
[03/05/2020 , 15:18:15] Bradley_Weathersby je prebacio $300 na racun 66 ()
[03/05/2020 , 15:18:17] Bradley_Weathersby je prebacio $30 na racun 66 ()
[03/05/2020 , 15:18:21] Bradley_Weathersby je prebacio $15 na racun 66 ()
[03/05/2020 , 15:45:18] Julian_Holland je prebacio $13000 na racun 74 ()
[03/05/2020 , 15:47:00] Fritz_Weldermeyer je prebacio $11097 na racun 70 ()
[03/05/2020 , 16:38:27] Danny_Rochefort je prebacio $6000 na racun 68 ()
[03/05/2020 , 16:41:50] John_Hardy je prebacio $1 na racun 74 ()
[03/05/2020 , 16:41:57] John_Hardy je prebacio $3999 na racun 74 ()
[03/05/2020 , 22:25:17] (03/05/2020, 22:25:17) Thomas_Hawkins[4095] je prebacio $200 igracu James_McCarthy[3810]
[04/05/2020 , 00:24:01] (04/05/2020, 00:24:01) John_Hardy[5326] je prebacio $6000 igracu Johny_Falcone[6814]
[04/05/2020 , 00:47:27] (04/05/2020, 00:47:27) Mickey_Fariello[3577] je prebacio $14000 igracu Ralph_Masotti[658]
[04/05/2020 , 01:49:19] (04/05/2020, 01:49:19) Jimmy_Cheng[165] je prebacio $1000 igracu Gloria_Segura[5784]
[04/05/2020 , 12:43:07] (04/05/2020, 12:43:07) Harley_Toretto[6158] je prebacio $2000 igracu Westley_Korrow[6162]
[04/05/2020 , 15:44:33] (04/05/2020, 15:44:33) Ivan_Djukanovic[6486] je prebacio $9000 igracu Bozo_Djukanovic[6487]
[04/05/2020 , 16:08:56] (04/05/2020, 16:08:56) Dominic_Smith[1164] je prebacio $2000 igracu Westley_Korrow[6162]
[04/05/2020 , 20:43:57] (04/05/2020, 20:43:57) Ronnie_Inman[199] je prebacio $5000 igracu Danny_Rochefort[1061]
[04/05/2020 , 21:30:15] (04/05/2020, 21:30:15) Thomas_McDowell[307] je prebacio $26500 igracu John_McDowell[4868]
[04/05/2020 , 21:34:57] (04/05/2020, 21:34:57) Milos_Bogdanovic[4622] je prebacio $15000 igracu Igor_Kostic[561]
[04/05/2020 , 22:05:42] (04/05/2020, 22:05:42) Allan_Houston[2790] je prebacio $100 igracu John_Mangano[6638]
[04/05/2020 , 22:05:47] (04/05/2020, 22:05:47) Allan_Houston[2790] je prebacio $5000 igracu John_Mangano[6638]
[04/05/2020 , 22:06:14] (04/05/2020, 22:06:14) Allan_Houston[2790] je prebacio $95000 igracu John_Mangano[6638]
[04/05/2020 , 22:16:06] (04/05/2020, 22:16:06) Matthew_Stanfa[1236] je prebacio $16300 igracu Peter_Kennedy[4425]
[04/05/2020 , 22:43:06] (04/05/2020, 22:43:06) Jesus_Aguilar[2602] je prebacio $9500 igracu Peter_Kennedy[4425]
[04/05/2020 , 23:33:08] (04/05/2020, 23:33:08) Lester_McCormick[95] je prebacio $14600 igracu Peter_Kennedy[4425]
[05/05/2020 , 00:47:57] (05/05/2020, 00:47:57) Michael_Blake[2606] je prebacio $15000 igracu Sebastian_Carrasco[581]
[05/05/2020 , 02:10:15] (05/05/2020, 02:10:15) Julian_Holland[238] je prebacio $1 igracu Luciano_Scaletta[1537]
[05/05/2020 , 02:10:18] (05/05/2020, 02:10:18) Julian_Holland[238] je prebacio $500 igracu Luciano_Scaletta[1537]
[05/05/2020 , 02:10:21] (05/05/2020, 02:10:21) Julian_Holland[238] je prebacio $1500 igracu Luciano_Scaletta[1537]
[05/05/2020 , 10:49:25] (05/05/2020, 10:49:25) Westley_Korrow[6162] je prebacio $12500 igracu Harley_Toretto[6158]
