(15/04/2020, 05:05:01) Ryan_Shock[SQLID: 6244] je radi neaktivnosti izgubio posao ID 6 i 2 sati ugovora.
(15/04/2020, 05:05:01) Michael_Grotti[SQLID: 6250] je radi neaktivnosti izgubio posao ID 16 i 2 sati ugovora.
(15/04/2020, 05:05:01) Vukasin_Sijan[SQLID: 6258] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(15/04/2020, 05:05:01) Logan_Gotti[SQLID: 6263] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(15/04/2020, 05:05:01) Wizzi_Tommy[SQLID: 6264] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(16/04/2020, 05:05:00) Demetrius_Innes[SQLID: 231] je radi neaktivnosti izgubio posao ID 9 i 9 sati ugovora.
(16/04/2020, 05:05:00) Matteo_Cangialosi[SQLID: 1824] je radi neaktivnosti izgubio posao ID 9 i 9 sati ugovora.
(16/04/2020, 05:05:00) Fernando_Delgado[SQLID: 4427] je radi neaktivnosti izgubio posao ID 3 i 2 sati ugovora.
(16/04/2020, 05:05:00) Lillie_Copeland[SQLID: 4603] je radi neaktivnosti izgubio posao ID 3 i 3 sati ugovora.
(16/04/2020, 05:05:00) Alicia_Macious[SQLID: 5988] je radi neaktivnosti izgubio posao ID 15 i 44 sati ugovora.
(16/04/2020, 05:05:00) Anton_Ivanov[SQLID: 6161] je radi neaktivnosti izgubio posao ID 7 i 5 sati ugovora.
(16/04/2020, 05:05:00) Jameson_Blackbourn[SQLID: 6206] je radi neaktivnosti izgubio posao ID 4 i 1 sati ugovora.
(16/04/2020, 05:05:00) Xavier_Matheson[SQLID: 6265] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
(17/04/2020, 05:05:00) Roddy_Michaels[SQLID: 3530] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(17/04/2020, 05:05:00) Monty_Hill[SQLID: 6031] je radi neaktivnosti izgubio posao ID 4 i 2 sati ugovora.
