
[26/09, 16:59:51] Mia_Jones je kupio biznis 108($30000) (94.250.60.100).
[26/09, 21:41:53] Michael_Rogers je kupio biznis 40($30000) (109.93.195.243).
[28/09, 17:51:23] Thomas_Brown je kupio biznis 103($40000) (87.116.164.31).
[28/09, 21:53:00] Pavle_Sekulic je kupio biznis 97($20000) (31.47.18.201).
[29/09, 17:35:38] Donald_Nixon je kupio biznis 126($30000) (178.223.153.170).
[30/09, 11:15:33] Homero_Estevez je kupio biznis 8($30000) (93.87.220.14).
[30/09, 18:53:37] Aleksandar_Simic je kupio biznis 114($10) (93.180.147.129).
[01/10, 17:46:24] Donald_Nixon je kupio biznis 126($30000) (178.220.55.14).
[02/10, 21:18:03] Emilio_Galvez je kupio biznis 56($30000) (193.217.223.119).
[03/10, 16:54:18] Emir_Hodovic(87.116.167.149) je kupio biznis 125 od Pavle_Simovic(109.245.37.76) za 1$
[03/10, 16:54:48] Pavle_Simovic je kupio biznis 90($75000) (109.245.37.76).
[03/10, 20:34:31] Aleksandar_Simic je kupio biznis 114($10) (93.180.147.129).
[03/10, 22:48:28] Paul_Hawakins je kupio biznis 40($30000) (188.127.119.145).
[05/10, 19:30:44] Paul_Hawakins je kupio biznis 27($45000) (188.127.119.145).
[06/10, 23:27:35] Daniel_Thobe je kupio biznis 8($30000) (62.4.55.139).
[08/10, 10:49:39] Reuel_Gomez je kupio biznis 95($50000) (62.4.55.105).
