
[23/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Vukota_Saranovic sa $27000, razlog: joe_owens' money
[23/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edgar_Hicks sa $140000, razlog: .
[23/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edgar_Hicks sa $1200000, razlog: .
[24/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Milos_Bogdanovic sa $201000, razlog: .
[24/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edgar_Hicks sa $5000, razlog: .
[26/04/2020] AdmCMD: darwin je novcano kaznio igraca Michael_Rogers sa $40000, razlog: Citer mu dao - posten igrac
[26/04/2020] AdmCMD: darwin je novcano kaznio igraca Danny_Rochefort sa $30000, razlog: Cheater mu dao
[26/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Aaron_Schaffner sa $2000000, razlog: IC
[27/04/2020] AdmCMD: BrownNN je novcano kaznio igraca Declan_Adolfo sa $2500, razlog: IC
[27/04/2020] AdmCMD: darwin je novcano kaznio igraca Brooks_Connor sa $7000, razlog: uporabna pristojba
[28/04/2020] AdmCMD: BrownNN je novcano kaznio igraca Uros_Radovic sa $1000, razlog: IC
[28/04/2020] AdmCMD: Brent je novcano kaznio igraca Igor_Kostic sa $2300, razlog: IC
[29/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edwin_Fitzgerald sa $10000, razlog: .
[29/04/2020] AdmCMD: Woo je novcano kaznio igraca Rene_Strauss sa $300000, razlog: IC
[30/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Edwin_Fitzgerald sa $1000000, razlog: .
[01/05/2020] AdmCMD: darwin je novcano kaznio igraca Petar_Stankovic sa $1000, razlog: .
[05/05/2020] AdmCMD: Khawaja je novcano kaznio igraca David_Quetzalcoatl sa $11400000, razlog: -
[05/05/2020] AdmCMD: Riviera je novcano kaznio igraca Aaron_Schaffner sa $250000, razlog: proracun 
[05/05/2020] AdmCMD: Riviera je novcano kaznio igraca Avram_Leontyev sa $250000, razlog: Proracun
[05/05/2020] AdmCMD: darwin je novcano kaznio igraca Igor_Kostic sa $70000, razlog: greska
[06/05/2020] AdmCMD: K3r1m je novcano kaznio igraca Michael_Langford sa $7500, razlog: IC
[06/05/2020] AdmCMD: Cruella. je novcano kaznio igraca Kiarra_Leean sa $20, razlog: IC
[07/05/2020] AdmCMD: Nandii je novcano kaznio igraca Mikel_Lowell sa $5000, razlog: IC
[07/05/2020] AdmCMD: tacZo je novcano kaznio igraca Miguel_Bello sa $150, razlog: IC
[07/05/2020] AdmCMD: tacZo je novcano kaznio igraca Vasilije_Radivojevic sa $150, razlog: IC
[07/05/2020] AdmCMD: Nandii je novcano kaznio igraca Christian_Mendoza sa $300, razlog: IC.
[08/05/2020] AdmCMD: WentworthHFD je novcano kaznio igraca Ivona_Walwyn sa $100, razlog: IC
[08/05/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $5000, razlog: .
[08/05/2020] AdmCMD: darwin je novcano kaznio igraca Hugo_Diaz sa $5000, razlog: PC
[08/05/2020] AdmCMD: darwin je novcano kaznio igraca Vladimir_Molotov sa $25000, razlog: greska
[09/05/2020] AdmCMD: tacZo je novcano kaznio igraca Martin_Kassaev sa $500, razlog: IC
