(06/05/2020, 17:38:59) Brian_Decker[SQL:1013] je uzeo Shotgun(50) iz Warehousea COORS Family Skins[SQL:11].
(08/05/2020, 20:03:06) Igor_Kostic[SQL:561] je uzeo Colt 45(13) iz Warehousea Klan Amerika[SQL:9].
(08/05/2020, 20:03:12) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(09/05/2020, 18:33:13) Igor_Kostic[SQL:561] je uzeo Colt 45(15) iz Warehousea Klan Amerika[SQL:9].
(09/05/2020, 18:33:18) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(09/05/2020, 18:33:42) Igor_Kostic[SQL:561] je uzeo UZI(60) iz Warehousea Klan Amerika[SQL:9].
(10/05/2020, 22:07:48) Igor_Kostic[SQL:561] je uzeo Desert Eagle(47) iz Warehousea Klan Amerika[SQL:9].
(10/05/2020, 22:08:31) Igor_Kostic[SQL:561] je uzeo Shotgun(25) iz Warehousea Klan Amerika[SQL:9].
(10/05/2020, 22:09:49) Igor_Kostic[SQL:561] je uzeo Shotgun(25) iz Warehousea Klan Amerika[SQL:9].
(11/05/2020, 21:14:03) Igor_Kostic[SQL:561] je uzeo Desert Eagle(40) iz Warehousea Klan Amerika[SQL:9].
(11/05/2020, 21:14:14) Igor_Kostic[SQL:561] je uzeo Desert Eagle(20) iz Warehousea Klan Amerika[SQL:9].
(13/05/2020, 20:25:25) Igor_Kostic[SQL:561] je uzeo M4(100) iz Warehousea Klan Amerika[SQL:9].
(15/05/2020, 20:50:54) Igor_Kostic[SQL:561] je uzeo AK47(60) iz Warehousea Klan Amerika[SQL:9].
(16/05/2020, 18:30:53) Uros_Radovic[SQL:154] je uzeo Silenced Pistol(58) iz Warehousea Klan Amerika[SQL:9].
(17/05/2020, 21:13:06) Igor_Kostic[SQL:561] je uzeo 23000$ iz Warehousea Klan Amerika[SQL:9].
